! '':4
! -rrb-:60
! .:6
! </s>:1518
!! -rrb-:3
!! -rsb-:1
!! .:4
!! </s>:132
!!! '':1
!!! -rrb-:2
!!! .:5
!!! </s>:82
!!!! 2:1
!!!! a:1
!!!! being:1
!!!! did:1
!!!! easy:2
!!!! finally:1
!!!! i:2
!!!! idk:1
!!!! instead:1
!!!! its:1
!!!! more:1
!!!! ok:1
!!!! purchased:1
!!!! so:1
!!!! the:1
!!!! this:5
!!!! very:1
!!!! way:1
!!!! what:1
!!!!! amazing:1
!!!!! and:1
!!!!! believe:1
!!!!! everything:1
!!!!! i:3
!!!!! no:1
!!!!! these:2
!!!!! this:1
!!!!!! as:1
!!!!!! i:2
!!!!!! love:1
!!!!!!! everything:1
!!!!!!! first:1
!!!!!!! i:1
!!!!!!!!!!! would:1
!!!!!!!!!!!!!!!!!! moreeven:1
!!!!!?????? i:1
!!!???? the:1
!? '':1
!? -rrb-:1
!? </s>:1
# !!!!:1
# $:1
# ':1
# .:1
# /:1
# 1:7
# 10:1
# 12:2
# 2:3
# 3:4
# wow:1
### gt:1
connection.i personally:1
connections ,:3
connections .:2
connections ...:2
connections all:1
connections and:3
connections are:2
connections as:1
connections between:2
connections can:1
connections do:1
connections for:1
connections in:1
connections inside:1
connections like:1
connections on:1
connections or:1
connections that:2
connections which:1
connections with:1
connections would:1
connections.i have:1
connectivity !:1
connectivity .:2
connectivity ;:1
connectivity issues:1
connectivity using:1
connectivity was:1
connector ,:7
connector -lrb-:3
connector -rrb-:1
connector .:4
connector 6:1
connector adapter:1
connector and:2
connector around:1
connector by:1
connector cable:3
connector cables:1
connector ends:1
connector ends.not:1
connector fell:1
connector for:1
connector goes:1
connector i:1
connector is:2
connector jackets:1
connector jiggles:1
connector makes:1
connector mates:2
connector on:1
connector option:1
connector screws:1
connector so:1
connector that:2
connector the:1
connector to:3
connector will:1
connector.tested with:1
connectors ,:5
connectors -:1
connectors -lrb-:2
connectors .:8
connectors ::1
connectors and:5
connectors are:8
connectors as:1
connectors at:1
connectors better:1
connectors can:1
connectors do:1
connectors feel:1
connectors fit:1
connectors on:3
connectors rather:1
connectors seem:1
connectors seems:1
connectors that:1
connectors to:1
connectors will:1
connectors worry:1
connectors would:1
connects and:1
connects between:1
connects easily:1
connects the:2
connects to:4
connects your:1
conned into:1
connoisseur ,:2
cons ,:1
cons .:1
cons ::6
cons :1:1
cons are:1
cons definitely:1
cons is:1
cons so:1
cons.pros1 .:2
cons.update 7/19:1
conscious musical:1
consciousness at:1
consequence ,:1
consequence of:1
consequently ,:4
conservative -lrb-:1
conservative .:1
conservative all:1
conservative band:1
consider &#34;:1
consider ,:1
consider .:3
consider a:2
consider adding:1
consider another:2
consider buying:2
consider changing:2
consider digitech:1
consider expensive:1
consider getting:2
consider how:1
consider if:2
consider it:2
consider its:1
consider joyo:1
consider lack:1
consider maybe:1
consider mids:1
consider plugging:1
consider price:1
consider professional:1
consider purchasing:2
consider rock:1
consider sending:1
consider shipping:1
consider some:1
consider something:1
consider that:1
consider the:18
consider this:12
consider to:2
consider using:1
consider when:1
consider you:1
consider.c ya:1
considerable amount:1
considerable difference:1
considerable drop-off:1
considerable investment:1
considerable low:1
considerably .:3
considerably heaver:1
considerably less:2
considerably more:2
considerably quieter:1
consideration .:2
consideration ::1
consideration for:1
consideration of:1
consideration the:1
consideration to:1
consideration what:1
consideration when:1
considerations .:1
considerations and:1
considerations are:1
considerations rather:1
considered ,:1
considered -lrb-:1
considered .:1
considered ``:1
considered a:3
considered ahead:1
considered before:1
considered clutter.the:1
considered if:1
considered rws:1
considered the:4
considered using:1
considered with:1
considered.all in:1
considering .:5
considering 50:1
considering a:2
considering both:1
considering but:1
considering buying:5
considering getting:3
considering how:9
considering i:4
considering if:1
considering investing:1
considering is:1
considering it:3
considering its:4
considering myself:1
considering non-crash:1
considering ordering:1
considering that:9
considering thats:1
considering the:17
considering there:2
considering this:4
considering wear:1
considering what:2
considering when:1
considerng replacing:1
consist of:1
consistant product:1
consistency ,:1
consistency .:1
consistency ;:1
consistency in:1
consistent ,:2
consistent .:3
consistent 8.24:1
consistent after:1
consistent and:1
consistent feel:1
consistent flex:1
consistent from:2
consistent gigging:1
consistent humidity:1
consistent in:1
consistent on:1
consistent quality:1
consistent register:1
consistent sound:1
consistent that:1
consistent thru:1
consistent to:1
consistent touch:1
consistent use:1
consistently and:2
consistently be:1
consistently buy:1
consistently come:1
consistently find:1
consistently for:2
consistently good:2
consistently sound:1
consistently than:1
consistently use:1
consistently.if you:1
consistently.the amp:1
console ,:1
console .:2
console for:2
console they:1
console vibrate:1
consoles and:1
consonants .:1
conspicuous debris:1
conspicuous in:1
conspicuousness of:1
conspros1 .:1
constant e-mails:1
constant hiss:1
constant problem:2
constant reference:1
constant relative:1
constant slipping:1
constant sustain:1
constant tuning:2
constant tweaking:1
constant use:4
constant warble:1
constantly ,:5
constantly .:3
constantly adjust:2
constantly adjusting:1
constantly are:1
constantly asking:1
constantly aware:1
constantly away:1
constantly change:2
constantly check:1
constantly cleaning:1
constantly ever:1
constantly get:1
constantly moved:1
constantly picking:1
constantly playing:1
constantly switch:1
constantly think:1
constantly tweaking:1
constantly waiting:1
constantly worried:1
constantly you:1
constantly.that being:1
construct to:1
constructed ,:8
constructed -lrb-:1
constructed .:7
constructed and:8
constructed as:1
constructed better:1
constructed but:2
constructed easy:1
constructed electric:1
constructed in:1
constructed instrument:1
constructed like:1
constructed of:1
constructed on:1
constructed solid:1
constructed strap:1
constructed to:1
constructed well:1
constructed with:1
constructed.overall i:1
constructio ,:1
construction ,:15
construction -lrb-:4
construction .:20
construction ...:1
construction ::1
construction and:15
construction but:1
construction concerns:1
construction details:1
construction ensures:1
construction features:1
construction for:1
construction from:1
construction going:1
construction i:1
construction in:1
construction is:16
construction it:2
construction leaves:1
construction looks:1
construction of:8
construction or:2
construction quality:4
construction seems:5
construction standpoint:1
construction technique:1
construction than:1
construction wise:1
construction with:1
construction-included accessories:1
construction-wise ,:1
construction.i love:1
construction.if you:1
construction.of course:1
construction.pros ::1
constructionthis amp:1
consultation with:1
consulted with:1
consulting your:1
consume coin-cell:1
consumer .:1
consumer and:1
consumer to:1
consumer whom:1
consumers are:1
consumers require:1
consumers.what does:1
consuming ,:1
consuming and:1
consumption ,:1
consumption .:1
consumption.i should:1
contact .:3
contact and:1
contact conditioner:1
contact is:2
contact me:1
contact microphone:2
contact point:1
contact points:4
contact points.i:1
contact switch:1
contact the:1
contact them:1
contact tuners:2
contact when:1
contact with:8
contacted by:1
contacted customer:2
contacted d'addario:1
contacted m-audio:1
contacted planet:1
contacted pyle:1
contacted support:1
contacted the:3
contacted their:1
contacting ovation:1
contacts causing:1
contacts.it is:1
contain adequate:1
contain an:1
contain and:1
contain plenty:1
contained deep:1
contained in:1
contained within:1
container ,:1
container .:2
container and:1
container once:1
container so:1
container that:2
container with:2
container.price is:1
containers -rrb-:1
containers when:1
containing three:1
contains 24:1
contains a:1
contains its:1
contaminant ever:1
contaminants .:1
contaminates our:1
contamination .:1
contamination from:1
contego semi-rigid:1
contemplated a:1
contemplated keeping:1
contemplating running:1
contemporary christian:1
contemporary gigs:1
contemporary vein:1
content ,:1
content .:1
content and:1
content but:1
content for:1
content using:1
content with:2
contents and:1
contents on:1
contest .:1
context .:1
context i:1
context of:2
contexts ,:1
contexts ;:1
contextually perfect:1
continual problems:2
continually -lrb-:1
continually dropped:1
continually improved:1
continue ,:1
continue applying:1
continue buying:1
continue fine:1
continue for:1
continue on:1
continue playing:1
continue purchasing:1
continue this:1
continue to:23
continue using:1
continue working.i:1
continue writing:6
continued but:1
continued shopping.guess:1
continued without:1
continues ...:1
continues that:1
continues to:5
continueto do:1
continuing returning:1
continuous loop:1
continuous noise:1
continuous recording:1
continuous use:1
continuously adjustable:1
continuously and:1
continuously listens:1
continuously since.we:1
continuum .:1
continuum of:1
contort the:1
contour of:1
contoured which:1
contours of:2
contract clamp:1
contraption pretty:1
contraption to:2
contrary ,:2
contrary to:3
contrast ,:3
contrast .:1
contrast ;:1
contrast against:1
contrast helps:1
contrast i:1
contrast of:1
contrast this:1
contrasts with:1
contribute to:1
contributes to:1
contrive a:1
control !:1
control !!:1
control &#34;:1
control '':1
control 's:1
control +:1
control ,:20
control -:2
control .:12
control ...:3
control acoustic:1
control adds:1
control all:2
control alters:1
control altogether3:1
control and:8
control as:2
control aspects:1
control because:1
control both:1
control but:1
control can:1
control cavity:1
control did:1
control do:1
control does:1
control either:1
control exactly:2
control extending:1
control flawed:1
control foot:1
control for:2
control gets:1
control gives:1
control goes:2
control has:1
control higher:1
control how:2
control if:1
control in:2
control into:1
control is:6
control issues:1
control it:1
control knobs:6
control make:1
control may:1
control midi:1
control module:1
control of:6
control on:3
control one:1
control out:1
control over:6
control panel:3
control panel/sound:1
control peff:1
control pick:2
control plate:2
control room:3
control settings:2
control setup:1
control sound:1
control standard:1
control surface:2
control swells:1
control that:3
control the:13
control their:1
control them:2
control to:5
control too:1
control up:1
control when:1
control with:5
control works:1
control you:1
control your:1
control.actually it:1
control.i enjoy:1
control.i have:1
control.if you:1
control.it looks:1
control.now the:1
control.the documentation:1
controland the:1
controle offers:1
controll picks:1
controllable '':1
controllable proximity:1
controlled ,:2
controlled -rrb-:1
controlled area:1
controlled by:2
controlled environment:1
controlled the:1
controlled through:1
controlled with:2
controller !:1
controller ,:6
controller .:1
controller and:2
controller because:1
controller becomes:1
controller but:1
controller for:2
controller has:1
controller in:1
controller is:1
controller module:1
controller since:1
controller surface:1
controller that:1
controller to:1
controllers i:1
controllers lost:1
controllers.the unit:1
controls ,:6
controls --:1
controls -lrb-:4
controls .:12
controls allow:1
controls and:10
controls are:19
controls as:1
controls being:1
controls but:1
controls do:1
controls flat:1
controls for:3
controls have:1
controls i:1
controls left:1
controls make:2
controls makes:1
controls my:1
controls on:4
controls only:1
controls or:1
controls set:1
controls that:2
controls the:2
controls to:4
controls unlike:1
controls which:1
controls will:1
controls would:1
controls your:1
controls.addendum ::1
controls.i use:1
controls.if you:1
controls.there are:1
controversy about:1
controversy is:1
controversy over:1
convenience .:4
convenience and:5
convenience for:1
convenience i:1
convenience meant:1
convenience more:1
convenience of:6
convenience that:1
convenience this:1
convenience.it has:1
convenience.update after:1
convenient !:1
convenient ,:3
convenient -lrb-:2
convenient -rrb-:1
convenient .:11
convenient and:7
convenient carrying:1
convenient controls:1
convenient free:1
convenient helper:1
convenient i:2
convenient if:3
convenient it:1
convenient little:1
convenient means:1
convenient on:1
convenient place:1
convenient plastic:1
convenient position:1
convenient small:1
convenient than:4
convenient then:1
convenient to:6
convenient too:1
convenient use:1
convenient vs.:1
conveniently clip:1
conveniently for:1
conveniently located:1
conveniently stored:1
conveniently use:1
convenientt to:1
conventional amps:1
conventional as:1
conventional condenser:1
conventional pedal-to-pedal:1
conventional picks:2
conventional plastic:1
conventional strat:1
conventional studio:1
conversation ,:1
conversation can:1
conversation item:1
conversation piece:1
conversational volume:1
conversely ,:2
conversion .:3
conversion and:1
conversion bushings:1
conversion on:1
conversion van:1
conversion5 .:1
conversions so:1
convert ,:1
convert -:1
convert any:1
convert condenser:1
convert from:1
convert in:1
convert the:2
convert to:2
convert within:1
convert xlr:1
convert your:1
converted guitar:1
converted me:1
converted the:1
converter ,:1
converter -:1
converter -lrb-:1
converter from:1
converter on:2
converters -:1
converters in:1
converters leave:1
convertible or:1
converting my:1
converting your:1
convertor and:1
convertors for:1
converts a:1
convey the:1
convey to:1
conveyed to:1
conviction that:1
convienent !:1
convienient and:1
convient place:1
convince that:1
convinced about:2
convinced even:1
convinced for:1
convinced hercules:1
convinced me:3
convinced snark:1
convinced that:3
convinced this:1
convincing ,:1
convincing acoustic:1
convincing and:1
convincing mid:1
convincing to:1
convincing way:1
convincingly cool:1
cookbook ,:1
cooking .:1
cooking breakfast:1
cool !:2
cool !!!!:1
cool &#34;:2
cool ,:18
cool -rrb-:2
cool .:22
cool ...:2
cool .4:1
cool 70s:1
cool ;:1
cool also:1
cool and:10
cool as:2
cool both:1
cool but:1
cool cat:9
cool cats:1
cool chrome:1
cool clip:1
cool delay:1
cool design:1
cool distortion:1
cool effect:1
cool effects:1
cool feature:3
cool features:3
cool filter:1
cool for:4
cool from:1
cool gadget:1
cool how:1
cool i:1
cool idea:1
cool ideas:1
cool in:1
cool is:1
cool it:1
cool just:1
cool knock-off:1
cool little:11
cool looking:9
cool metal:1
cool name:1
cool niche:1
cool on:2
cool part:1
cool pedal:8
cool pre-sets:1
cool pretty:1
cool product:1
cool sheets:1
cool sounding:1
cool sounds:2
cool stuff:3
cool that:4
cool these:1
cool they:1
cool things:3
cool this:2
cool thrash:1
cool to:1
cool tone:1
cool too:1
cool tool:3
cool touch:1
cool tracks:1
cool tube:2
cool tubes:1
cool tuner:1
cool use:1
cool vibe:1
cool vintage:2
cool when:1
cool with:2
cool yet:1
cool.its strong:1
cool.so reaper:1
cool.the only:1
cooled area:1
cooler ,:1
cooler .:2
cooler is:1
cooler months:1
coolest guitar:1
coolest thing:1
coolsoft virtualmidisynth:1
cooperative assistant:1
coordinate our:1
coordinator for:1
coordinator rod:1
copasetic .:1
copied from:1
copied the:1
copies ,:1
copies 1:1:1
copies other:1
copper and:1
copper center:1
copper conductor:1
copper slide:1
copper tape:1
copper under:1
copper windings:1
cops on:1
cops wo:1
copy !:1
copy ,:3
copy -rrb-:1
copy .:1
copy analog:2
copy and:5
copy can:1
copy delay:2
copy did:1
copy gets:1
copy ideas:1
copy is:2
copy nooned:1
copy of:8
copy pedal:1
copy strat:1
copy swear:1
copy the:2
copy to:1
copy your:1
copyright violation:1
cord ,:11
cord -:2
cord -lrb-:5
cord .:10
cord ``:1
cord across:1
cord after:2
cord and:9
cord anymore:1
cord attach:1
cord but:1
cord coming:1
cord connecting:1
cord connection:2
cord did:1
cord extension:1
cord fine:1
cord for:1
cord from:3
cord got:1
cord i:2
cord in:2
cord into:4
cord is:8
cord issues:1
cord lasted:1
cord length:2
cord management:1
cord never:1
cord on:4
cord or:1
cord out:1
cord plug:1
cord pops:1
cord really:1
cord secure:1
cord serves:1
cord shock:1
cord side:1
cord than:1
cord that:7
cord they:1
cord to:7
cord type:1
cord unless:1
cord w:1
cord was:2
cord when:1
cord without:1
cord works:1
cord would:1
cord wrap:1
cord you:1
cord.i really:1
cord.of course:1
cord.very low:1
corded tuner:1
corder ,:1
cording ,:1
cordless drill:1
cordoba c5:1
cords !:1
cords ,:5
cords -:1
cords .:13
cords ...:1
cords also:1
cords and:4
cords are:8
cords around:1
cords but:1
cords called:1
cords could:1
cords for:4
cords from:3
cords get:1
cords have:2
cords i:3
cords if:1
cords in:1
cords made:1
cords make:1
cords makes:1
cords need:1
cords of:1
cords out:1
cords over:1
cords running:2
cords seem:1
cords strike:1
cords that:1
cords then:1
cords to:2
cords we:1
cords with:1
cords work:2
cordura ,:1
cordura -lrb-:1
cordura material:1
core &#34;:1
core ,:1
core 2:1
core 2.2:1
core cord:1
core gives:1
core metal:1
core shape:1
core trem:1
core-types ,:1
core.overall ,:1
core.they feel:1
cores -lrb-:1
cores and:2
corgan also:1
corinthian leather:1
cork back:1
cork-sniffer bandmates:1
cork-sniffer re:1
corner '':1
corner ,:2
corner and:1
corner before:1
corner between:1
corner for:1
corner frequency:1
corner in:1
corner is:1
corner of:2
corner picks:1
corner protectors:2
corner to:1
corners -rrb-:1
corners .:1
corners and:1
corners being:1
corners have:1
corners of:3
corners on:3
corners only:1
corners to:2
corners were:1
corners when:1
corona chorus:2
corporate standpoint:1
corporate video:2
corpulent sound:1
corral '':1
corral buffet:1
correct ,:2
correct .:4
correct ...:1
correct ``:1
correct adaptor:1
correct but:1
correct electrical:1
correct finger:1
correct item:1
correct itself:1
correct length:1
correct me:1
correct method:1
correct minor:1
correct one:2
correct pitch.appears:1
correct product:1
correct seating:1
correct spot:1
correct supportive:1
correct tension.i:1
correct the:3
correct this:1
correct this.stagg:1
correct wire:1
corrected ,:1
corrected by:1
corrected for:1
corrected the:1
corrected with:1
correcting the:1
correction .:1
correction is:1
correction sounds:1
correction through:1
correction works:1
correctional facility:1
correctly ':1
correctly ,:6
correctly -lrb-:1
correctly -rrb-:1
correctly .:9
correctly and:1
correctly automap:1
correctly inline:1
correctly though:1
correctly to:1
correctly with:1
correctly you:2
correctly.first and:1
correctly.product was:1
corrects that:1
correspond to:1
corresponding knobs:1
corrision on:1
corrode -:1
corrode .:1
corrode and:2
corrode like:2
corrode or:1
corrode ordinary:1
corrode your:1
corroded ,:1
corroded poor:1
corroded strings:1
corroding pretty:1
corroding so:1
corroding within:1
corrosion ,:2
corrosion .:4
corrosion and:4
corrosion becomes:1
corrosion but:1
corrosion causes:1
corrosion down:1
corrosion inside:1
corrosion is:2
corrosion on:1
corrosion or:3
corrosion resistance:1
corrosion resistant:1
corrugated cardboard:1
coryell have:1
cos that:1
cosmetic ,:2
cosmetic changes:1
cosmetic item:1
cosmetic perfection:1
cosmetic so:1
cosmetic thing:1
cosmetically .:1
cosmo year:1
cost !:2
cost $:5
cost ,:10
cost -:1
cost -lrb-:1
cost -rrb-:2
cost .:27
cost ...:2
cost 13:1
cost 2x:1
cost 3:1
cost 4:1
cost 5x:1
cost 70:1
cost a:11
cost about:8
cost almost:1
cost alot:1
cost an:1
cost and:7
cost any:1
cost anywhere:1
cost are:1
cost around:3
cost as:3
cost associated:1
cost at:2
cost between:1
cost cable:1
cost cutting:1
cost double:1
cost effective:2
cost efficient:2
cost far:1
cost four:1
cost goes:1
cost guitar:1
cost half:1
cost here:1
cost hundreds:1
cost i:2
cost increase:1
cost is:6
cost it:1
cost less:3
cost less.another:1
cost lest:1
cost many:1
cost me:9
cost more:14
cost much:6
cost new:1
cost next:1
cost of:15
cost or:1
cost over:2
cost pedal:1
cost performance:1
cost perhaps:1
cost reduced:2
cost so:1
cost stand:1
cost strap:1
cost than:3
cost the:1
cost these:2
cost three:3
cost to:1
cost too:1
cost tuner:1
cost twice:4
cost up:2
cost very:2
cost vs:1
cost was:1
cost way:1
cost were:1
cost what:1
cost with:1
cost you:5
cost-effective way:1
cost-efficient ,:1
cost-sensitive intermediate:1
cost.few people:1
cost.it 's:1
cost.the case:1
costa on:1
costed twice:1
costing 3:1
costing and:1
costing around:2
costing many:1
costing me:1
costing more:2
costing several:2
costing ten:1
costing three:1
costing too:2
costing twice:1
costing under:1
costlier sony:1
costly ,:1
costly -lrb-:1
costly as:1
costly new:1
costly older:1
costly pedals.i:1
costly units:5
costs $:3
costs ,:1
costs .:2
costs 12:1
costs 2-3x:1
costs 2x:1
costs 3:1
costs 33:1
costs a:11
costs about:6
costs all:1
costs and:1
costs before:1
costs by:1
costs down:3
costs extra:1
costs four:1
costs half:1
costs it:1
costs less:6
costs me:1
costs more:3
costs no:1
costs of:1
costs several:1
costs the:2
costs three:1
costs twice:1
costs you:2
costume.i think:1
costumer ,:1
costumer we:1
cotton ,:2
cotton and:3
cotton ball:1
cotton candy:1
cotton cloth:1
cotton cloth.this:1
cotton guitar:1
cotton is:1
cotton towel:1
cou -lsb-:1
couch and:2
couch so:1
couch songwriting:1
cough *:2
cough cough:2
coughcoughcough -rrb-:1
coukd just:1
could !:1
could ':1
could '':1
could 've:2
could ,:1
could .:2
could absolutely:1
could actually:1
could adjust:2
could afford:4
could also:8
could always:2
could and:2
could ask:4
could attach:1
could barely:1
could be:70
could become:1
could break:2
could brighten:1
could but:1
could buy:6
could call:1
could carry:1
could cause:4
could cause.the:1
could certainly:1
could change:1
could choose:1
could clearly:1
could come:4
could comfortably:1
could complain:1
could compromise:1
could conceivably:1
could continue:1
could contrive:1
could cover:1
could crap:2
could cut:2
could damage:3
could definitely:1
could dent:2
could detect:1
could dial:1
could do:10
could double:1
could drive:1
could easily:14
could even:3
could ever:2
could expect:1
could fairly:1
could fall:2
could feel:1
could finally:1
could find:17
could find.go:1
could fit:4
could fix:1
could fold:1
could fool:1
could for:1
could get:20
could get.it:1
could give:4
could go:1
could handle:1
could hang:1
could happen:1
could hardly:2
could have:40
could hear:5
could here:1
could hit:2
could hold:2
could hook:1
could i:4
could imagine:3
could immediatly:1
could improve:1
could just:8
could keep:1
could lay:1
could learn:1
could leave:2
could look:1
could make:10
could manage:1
could mess:1
could move:1
could n't:105
could never:10
could no:1
could not:39
could of:2
could only:4
could organize:1
could paint:1
could pass:1
could patch:1
could pay:1
could play:2
could plug:3
could pop:1
could possibly:7
could power:1
could practice:1
could preset:2
could probably:9
could produce:1
could provide:1
could pull:1
could put:5
could randomly:1
could record:1
could replace:1
could replacethe:1
could rethink:1
could return:1
could rotate:1
could run:2
could save:1
could say:5
could see:10
could sell:1
could send:1
could set:1
could slap:1
could slip:1
could sound:4
could spend:6
could spot:1
could spray:1
could stand:3
could stay:2
could still:2
could stress:1
could suffer:1
could take:4
could teach:1
could tear:1
could tell:3
could they:1
could think:2
could tighten:1
could toss:1
could totally:1
could track:1
could transfer:1
could travel:1
could try:1
could tune:3
could turn:1
could upgrade:1
could upload:1
could use:24
could very:1
could want:2
could wear:1
could wish:1
could withstand:1
could work:2
could write:1
could you:10
couldnt be:3
couldnt find:1
couldnt keep:1
couldnt pass:1
couldnt tell:1
coule be:1
cound like:1
count for:1
count me:1
count on:3
count that:2
count the:3
counter the:1
counter this:1
counter voices:1
counter weight:2
counter-weight ,:1
counterclockwise the:1
counterparts .:3
counterparts on:1
counterweight ,:1
counterweight .:1
counting ,:1
counting myself:1
countless guitars:1
countless hours:1
countless others:1
countless user:1
countless workarounds:1
country ,:13
country -lrb-:1
country .:2
country and:2
country carrying:1
country or:1
country to:1
country tones:1
counts ,:1
counts .:4
counts and:1
county ,:1
couple $:1
couple .:1
couple and:1
couple bands:1
couple boxes:1
couple bucks:2
couple cheaper:1
couple days:4
couple decent:1
couple different:4
couple dollars:2
couple extra:2
couple fail:1
couple foam:1
couple from:1
couple hours:2
couple hundred:1
couple intending:1
couple knobs:1
couple little:1
couple minutes:1
couple minutes.i:1
couple months:5
couple more:14
couple now:1
couple of:129
couple on:2
couple other:2
couple others:1
couple pair:1
couple pedals:1
couple pro:1
couple rolls:1
couple sets:1
couple shows:1
couple small:1
couple sprays:1
couple stars:1
couple times:2
couple to:1
couple tours:1
couple wall-hanger:1
couple weeks:3
couple years:3
couple4pcs round:1
coupled with:1
couplers &#34;:1
coupling '':1
course !:1
course ,:37
course -:2
course -rrb-:5
course .:3
course a:2
course all:1
course amazon:2
course are:1
course at:1
course but:2
course difficult:1
course for:1
course gives:1
course guitar:1
course have:1
course hohner:1
course i:3
course if:2
course is:1
course it:9
course just:1
course less:1
course my:1
course none:1
course not:1
course notes:1
course one:1
course over:1
course remember:1
course replaced:1
course since:1
course that:1
course the:2
course then:1
course there:1
course this:2
course used:1
course uses:1
course when:2
course without:1
course works:1
course you:4
courses ,:1
courses at:1
coursse -rrb-:1
courteous in:1
courtesy pair:1
cousin ,:1
cousin .:1
cousin and:1
cousin the:1
cousins .:1
cousins use:1
cover !!:1
cover ,:2
cover .:8
cover ``:1
cover acoustic:1
cover all:3
cover an:1
cover and:5
cover back:1
cover because:1
cover both:1
cover comes:1
cover does:1
cover doubles:1
cover eliminates:1
cover empty:1
cover for:3
cover has:1
cover hosa:1
cover if:1
cover in:1
cover is:3
cover it:6
cover just:2
cover more:1
cover most:1
cover my:1
cover off:1
cover on:2
cover over:3
cover really:1
cover rhythm:1
cover screw:2
cover screw.-no:1
cover sort:1
cover style:1
cover that:4
cover the:11
cover them:1
cover three:1
cover to:1
cover up:1
cover well:1
cover with:2
cover.of course:1
covered ,:1
covered .:3
covered a:1
covered already:1
covered by:3
covered for:1
covered in:2
covered it:1
covered lol:1
covered so:1
covered try:1
covered where:1
covered with:5
covering .:1
covering adjacent:1
covering appears:1
covering feels:1
covering for:2
covering like:1
covering provides:1
covering reverb:1
covering started:1
covering the:1
covering will:1
coverings to:1
covers ,:3
covers -rrb-:1
covers .:3
covers all:2
covers and:1
covers for:1
covers on:2
covers the:2
covers up:1
covers you:1
coversion cable:1
coveted amps/guitars/fxfor:1
coveted tube:1
cow the:1
coworker .:1
cozy inside:1
cozy padding:1
cozy way:1
cozying up:1
cpu is:1
cr 2032:1
cr @p:1
cr and:1
cr if:1
cr-13 short:1
cr2032 3:1
cr2032 button:1
cr2032 lithium:1
crab about:1
crack ,:2
crack after:1
crack appear:1
crack easily:1
crack or:1
crack the:1
crack when:1
cracked ,:3
cracked .:1
cracked around:2
cracked but:1
cracked in:1
cracked knobs:1
cracked on:1
cracked up:1
cracked when:1
cracked which:1
cracking '':1
cracking ,:2
cracking and:1
cracking some:1
crackle on:1
crackle sound:1
crackle until:1
crackles ,:4
crackles .:2
crackles and:3
crackles when:2
crackling etc.:1
crackling or:1
crackling when:1
crackly ,:1
crackly again:1
crackly then:1
cracks ,:2
cracks .:1
cracks will:1
cradle .:1
cradle and:1
cradle attaches:1
cradle guitar:2
cradle is:3
cradle my:1
cradle type:1
cradle works:1
cradled in:1
cradles my:2
cradles the:2
cradling baby.double:1
crafted guitar:1
crafting your:1
crafts store:1
craftsmanship ,:4
craftsmanship is:2
crafty ,:1
craigslist these:1
crammed a:1
crammed pedal:1
crammed quite:1
cramp it:1
cramp time:1
cramped .:1
cramped for:1
cramped gig:1
cramped little:1
cramped on:1
cramped stages:1
cramped stages.overall:1
crane my:1
craning my:1
crank 'em:1
crank .:1
crank it:8
crank my:1
crank out:1
crank the:17
crank to:1
crank up:2
crank winder:1
cranked -lrb-:1
cranked 70:1
cranked all:1
cranked ampeg:1
cranked and:1
cranked down:1
cranked it:4
cranked out:1
cranked sound:1
cranked the:1
cranked through:1
cranked tube:1
cranked up:7
cranked wide:1
crankednow ,:1
cranking a:1
cranking it:1
cranking one:1
cranking the:1
cranking up:1
cranks !!:1
crap ,:3
crap -lrb-:1
crap .:3
crap ;:1
crap and:2
crap are:1
crap for:2
crap guitar:1
crap i:1
crap in:2
crap on:1
crap out:5
crap right:1
crap shoot.likes:1
crap so:1
crap straps:1
crap strings:1
crap that:2
crap these:1
crap to:1
crap was:1
crap with:1
crap you:1
crap.the base:1
crapo !:1
crappiest pot:1
crappy ,:1
crappy .:1
crappy behringer:1
crappy cables:1
crappy china:1
crappy connection:1
crappy ear:1
crappy one:1
crappy product:1
crappy strap:1
crappy strings:2
craps out:2
crapware and:1
crash !:1
crash ,:2
crash .:1
crash and:1
crash constantly:1
crash on:1
crash or:1
crash some:1
crash that:1
crash with:1
crashed a:1
crashes '':1
crashing or:1
crate ,:3
crate acoustic:1
crate amp:2
crate blue:1
crate td-35:1
crate vc508:1
crayons ,:1
crazy !:1
crazy ,:2
crazy .:4
crazy 8:1
crazy about:3
crazy and:2
crazy but:1
crazy cart:1
crazy cheap.i:1
crazy concept:1
crazy cool:1
crazy effects:1
crazy extremes:1
crazy for:1
crazy glue:1
crazy here:1
crazy hiss:1
crazy loud:1
crazy on:1
crazy package:1
crazy rattling:1
crazy since:1
crazy solos:1
crazy sounds:1
crazy stuff.do:1
crazy train:1
crazy ufo:1
crazy when:1
crazy woman:1
crazy!highly recommend:1
creaking .:1
cream -lrb-:1
cream .:1
cream ...:1
cream butter:1
cream colored:1
cream off:1
cream on:1
creamier in:1
creamy as:1
creamy distortion:1
creamy sound:1
create a:10
create acoustic:1
create and:2
create any:1
create delay:1
create every:1
create hotspots:1
create jam/click:1
create music:2
create new:1
create next:1
create on:1
create should:1
create some:1
create sounds:1
create the:3
create their:1
create with:1
create your:1
created .:1
created a:5
created are:1
created but:1
created by:3
created equal:1
created equal.since:1
created in:2
creates a:6
creates alot:1
creates an:1
creates clutter:1
creates fuzz:1
creating a:3
creating jam:1
creating new:1
creating quality:1
creating that:1
creating tone:1
creating your:2
creation .:1
creation softwareis:1
creation when:1
